,R,L
0,1,2
1,0,0
2,-1,1
3,-1,-1
4,-2,1
5,1,0
6,4,0
7,2,-2
8,0,-5
9,-2,-6
10,-3,-6
11,-4,-9
12,-7,-9
13,-7,-8
14,-5,-7
15,-7,-6
16,-7,-5
17,-5,-2
18,-5,0
19,-2,2
20,1,3
21,2,5
22,3,4
23,2,2
24,1,0
25,1,-4
26,-1,-4
27,-1,-3
28,0,-1
29,3,-1
30,4,0
31,1,1
32,1,-2
33,0,0
34,0,3
35,2,1
36,2,1
37,0,2
38,3,4
39,3,6
40,5,6
41,3,4
42,3,3
43,1,1
44,-1,0
45,-2,-2
46,0,-1
47,1,1
48,-1,-1
49,-2,-1
50,-4,-1
51,-4,-4
52,-5,-3
53,-4,-4
54,-4,-1
55,-1,2
56,-2,1
57,-1,2
58,-1,0
59,-1,0
60,-1,-1
61,0,-4
62,-1,-3
63,-2,-2
64,-2,-1
65,-2,-1
66,-3,1
67,2,2
68,4,3
69,5,2
70,4,5
71,3,0
72,0,-1
73,-2,-4
74,-2,-4
75,-2,-5
76,-4,-2
77,1,3
78,4,5
79,3,8
80,5,11
81,9,10
82,8,11
83,8,8
84,7,9
85,6,7
86,4,4
87,1,0
88,-2,-2
89,-5,-6
90,-7,-8
91,-10,-7
92,-8,-8
93,-7,-8
94,-6,-6
95,-6,-7
96,-4,-5
97,-4,-4
98,-4,-5
99,-2,-5
100,-3,-4
101,-2,-6
102,-4,-6
103,-5,-9
104,-7,-10
105,-6,-8
106,-3,-4
107,1,-1
108,3,1
109,4,-1
110,2,1
111,2,1
112,0,-2
113,2,-1
114,0,-4
115,-1,-7
116,-3,-8
117,-3,-7
118,-2,-4
119,2,-1
120,2,2
121,4,4
122,7,4
123,6,9
124,7,8
125,6,7
126,4,6
127,3,3
128,1,2
129,1,2
130,3,1
131,2,2
132,2,-1
133,1,-1
134,1,-1
135,0,-2
136,-3,-3
137,-6,-6
138,-5,-5
139,-6,-5
140,-6,-5
141,-4,-1
142,-2,2
143,1,4
144,2,3
145,3,2
146,-1,-1
147,-2,-2
148,-3,-4
149,-4,-5
150,-3,-7
151,-5,-6
152,-3,-5
153,-6,-6
154,-4,-6
155,-5,-5
156,-4,-4
157,-2,-1
158,-1,2
159,2,4
160,3,4
161,1,3
162,-2,0
163,-3,-2
164,-7,-5
165,-8,-7
166,-7,-7
167,-8,-6
168,-6,-3
169,-2,0
170,0,3
171,2,4
172,5,5
173,3,2
174,5,5
175,4,4
176,4,4
177,4,6
178,6,9
179,6,7
180,10,10
181,9,8
182,7,6
183,6,7
184,6,8
185,7,6
186,7,3
187,6,2
188,2,-2
189,-1,-2
190,-2,-4
191,1,-2
192,1,-1
193,-2,-3
194,-2,-2
195,-6,-4
196,-7,-5
197,-8,-5
198,-9,-3
199,-9,-2
200,-6,-1
201,-4,-2
202,-5,-3
203,-3,-2
204,-3,-4
205,-3,-3
206,0,-4
207,-3,-4
208,-4,-3
209,-3,-4
210,-2,-6
211,0,-7
212,-2,-8
213,-6,-9
214,-6,-6
215,-6,-4
216,-5,-2
217,-3,0
218,-1,2
219,1,3
220,0,4
221,5,4
222,5,5
223,3,5
224,3,3
225,2,1
226,3,0
227,2,-2
228,0,-2
229,-1,-2
230,0,-1
231,1,-1
232,2,1
233,2,1
234,3,1
235,0,1
236,0,-2
237,-2,-2
238,-2,0
239,-1,-4
240,0,-4
241,-4,-5
242,-4,-8
243,-5,-7
244,-6,-5
245,-5,-4
246,-4,-1
247,-3,-2
248,-3,-3
249,-1,-4
250,-3,-3
251,-4,-1
252,-2,-2
253,-2,1
254,-1,-1
255,-3,-3
256,-6,-5
257,-6,-5
258,-6,-9
259,-8,-10
260,-8,-7
261,-5,-9
262,-6,-4
263,-4,-2
264,-4,-3
265,-2,-1
266,-2,-1
267,0,1
268,0,0
269,2,3
270,4,3
271,3,4
272,3,5
273,3,6
274,4,6
275,6,5
276,7,3
277,6,3
278,5,3
279,2,1
280,2,5
281,5,5
282,3,5
283,3,5
284,3,4
285,2,4
286,3,3
287,1,4
288,3,2
289,0,3
290,3,2
291,3,3
292,2,1
293,3,-1
294,0,-3
295,0,-1
296,1,2
297,0,4
298,3,5
299,1,1
300,-2,-1
301,-4,-5
302,-7,-5
303,-6,-4
304,-6,-3
305,-4,1
306,-2,1
307,0,2
308,0,1
309,-3,-3
310,-4,-7
311,-6,-6
312,-8,-8
313,-5,-7
314,-6,-8
315,-5,-9
316,-6,-10
317,-7,-6
318,-5,-3
319,-3,-2
320,-1,0
321,0,2
322,2,4
323,2,2
324,0,0
325,-1,0
326,-3,-1
327,0,3
328,2,4
329,4,6
330,5,8
331,7,7
332,8,7
333,8,6
334,8,7
335,9,7
336,6,4
337,7,0
338,3,-2
339,1,-4
340,0,-1
341,2,2
342,1,1
343,0,2
344,3,1
345,-1,0
346,-3,-3
347,-4,-2
348,-5,-2
349,-5,-2
350,-3,0
351,-3,0
352,-1,-2
353,1,-2
354,1,-2
355,-1,-2
356,0,-1
357,1,1
358,1,0
359,2,0
360,0,-1
361,-2,-3
362,-3,-6
363,-6,-4
364,1,-1
365,-1,-1
366,-3,-1
367,-2,1
368,1,2
369,3,0
370,2,3
371,3,3
372,5,5
373,1,4
374,1,3
375,1,0
376,-2,1
377,0,-1
378,1,-2
379,-1,-1
380,1,3
381,1,4
382,3,4
383,5,8
384,6,8
385,7,7
386,4,7
387,2,3
388,1,1
389,-1,0
390,0,-1
391,0,0
392,0,4
393,3,5
394,2,3
395,5,0
396,3,-2
397,-2,-4
398,-2,-5
399,-5,-4
400,-4,-3
401,-4,-2
402,-3,0
