,R,L
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,-1,1
12,-1,0
13,0,-1
14,1,-2
15,1,-1
16,0,1
17,-3,3
18,-3,3
19,0,-1
20,6,-8
21,11,-12
22,11,-11
23,4,-4
24,-6,3
25,-15,4
26,-16,-2
27,-9,-13
28,3,-22
29,12,-24
30,13,-18
31,6,-10
32,-6,-5
33,-16,-6
34,-21,-12
35,-18,-18
36,-11,-20
37,-5,-15
38,-2,-6
39,-3,3
40,-4,10
41,-2,15
42,4,16
43,14,16
44,23,12
45,27,7
46,25,1
47,17,-3
48,7,-2
49,0,5
50,-4,14
51,-3,20
52,0,19
53,4,9
54,8,-3
55,11,-13
56,13,-15
57,12,-10
58,8,-2
59,1,3
60,-6,1
61,-10,-5
62,-10,-9
63,-7,-8
64,-1,0
65,6,11
66,11,19
67,13,19
68,11,13
69,6,4
70,2,-3
71,1,-3
72,5,0
73,10,3
74,13,4
75,10,2
76,3,-1
77,-3,1
78,-2,8
79,6,19
80,19,28
81,29,32
82,30,29
83,24,22
84,15,15
85,10,11
86,11,10
87,14,10
88,15,8
89,10,5
90,0,2
91,-10,2
92,-15,5
93,-12,6
94,-5,5
95,2,0
96,6,-4
97,6,-5
98,4,-1
99,1,6
100,0,12
101,1,14
102,6,12
103,12,8
104,19,7
105,22,8
106,22,10
107,19,13
108,15,16
109,13,18
110,13,21
111,15,22
112,14,21
113,12,15
114,9,8
115,8,3
116,11,0
117,13,2
118,11,3
119,4,3
120,-5,1
121,-12,-3
122,-14,-5
123,-12,-6
124,-11,-6
125,-13,-6
126,-16,-7
127,-17,-6
128,-13,-2
129,-5,5
130,2,10
131,5,11
132,4,7
133,5,1
134,9,0
135,15,5
136,18,15
137,16,23
138,8,22
139,2,13
140,0,2
141,5,-3
142,13,1
143,19,14
144,18,26
145,11,30
146,3,24
147,-4,14
148,-6,6
149,-5,6
150,-4,11
151,-4,15
152,-4,14
153,-4,6
154,-3,-3
155,-2,-7
156,-1,-1
157,-2,10
158,-4,17
159,-7,14
160,-8,1
161,-8,-15
162,-5,-25
163,-1,-25
164,1,-15
165,-2,-4
166,-6,0
167,-10,-4
168,-9,-12
169,-1,-14
170,9,-8
171,17,4
172,16,15
173,8,18
174,-4,10
175,-12,-1
176,-11,-10
177,-3,-10
178,4,-3
179,6,4
180,2,6
181,-6,2
182,-11,-4
183,-9,-7
184,-4,-6
185,0,-4
186,0,-3
187,-4,-4
188,-8,-6
189,-9,-9
190,-7,-9
191,-3,-9
192,-4,-8
193,-8,-7
194,-13,-7
195,-15,-5
196,-13,-1
197,-7,4
198,-2,8
199,0,10
200,-1,8
201,-2,5
202,-1,2
203,1,-1
204,2,-1
205,1,-2
206,-4,-3
207,-8,-5
208,-8,-8
209,-4,-12
210,1,-13
211,3,-12
212,-2,-8
213,-10,-5
214,-16,-4
215,-16,-6
216,-7,-11
217,3,-15
218,10,-15
219,8,-10
220,-1,-3
221,-11,3
222,-17,3
223,-17,0
224,-9,-6
225,1,-8
226,11,-6
227,15,0
228,13,7
229,6,13
230,1,15
231,0,14
232,3,8
233,6,1
234,5,-6
235,0,-10
236,-5,-7
237,-6,0
238,-4,7
239,-4,6
240,-6,-3
241,-8,-16
242,-4,-25
243,6,-22
244,15,-8
245,16,6
246,8,13
247,0,9
248,1,1
249,10,-2
250,14,3
251,0,8
252,-32,2
253,-59,-19
254,-58,-44
255,-19,-51
256,38,-29
257,79,14
258,77,53
259,37,62
260,-15,37
261,-43,-4
262,-37,-35
263,-9,-40
264,13,-24
265,10,-8
266,-13,-6
267,-36,-19
268,-43,-35
269,-30,-39
270,-7,-28
271,11,-9
272,18,9
273,13,19
274,2,20
275,-13,12
276,-28,-2
277,-38,-20
278,-37,-35
279,-26,-41
280,-11,-36
281,-4,-23
282,-9,-12
283,-18,-7
284,-19,-8
285,-7,-8
286,12,-3
287,24,7
288,17,15
289,-4,15
290,-25,4
291,-35,-12
292,-29,-23
293,-17,-23
294,-9,-12
295,-10,2
296,-18,8
297,-25,3
298,-27,-11
299,-20,-23
300,-9,-25
301,0,-17
302,1,-7
303,-8,-3
304,-21,-8
305,-30,-18
306,-27,-25
307,-10,-21
308,12,-7
309,27,9
310,26,18
311,11,18
312,-9,9
313,-21,-3
314,-20,-12
315,-7,-14
316,10,-11
317,19,-5
318,14,0
319,-2,-1
320,-21,-7
321,-32,-14
322,-28,-16
323,-11,-12
324,7,-4
325,15,3
326,7,4
327,-11,-1
328,-25,-8
329,-25,-9
330,-9,-4
331,14,5
332,29,11
333,28,11
334,13,6
335,-9,0
336,-23,-2
337,-22,2
338,-7,9
339,13,16
340,28,21
341,32,23
342,25,23
343,14,22
344,7,21
345,8,20
346,13,19
347,16,15
348,13,9
349,1,0
350,-13,-9
351,-23,-15
352,-24,-15
353,-16,-8
354,-1,3
355,14,14
356,25,20
357,29,20
358,27,15
359,20,10
360,12,9
361,7,12
362,4,16
363,3,17
364,2,11
365,2,3
366,2,-4
367,4,-5
368,7,-1
369,8,5
370,5,9
371,-1,8
372,-7,3
373,-10,-3
374,-8,-8
375,-2,-11
376,4,-12
377,6,-13
378,5,-10
379,1,-5
380,-4,3
381,-6,10
382,-6,14
383,-5,12
384,-4,4
385,-4,-5
386,-5,-12
387,-5,-13
388,-3,-8
389,1,-2
390,4,4
391,3,5
392,-3,1
393,-11,-5
394,-15,-9
395,-12,-9
396,-5,-3
397,3,6
398,5,12
399,-2,12
400,-12,3
401,-19,-11
402,-18,-24
403,-10,-29
404,-2,-27
405,-1,-18
406,-8,-8
407,-19,-3
408,-25,-2
409,-19,-3
410,-3,-1
411,13,5
412,21,12
413,18,15
414,9,12
415,3,3
416,7,-4
417,19,-3
418,29,6
419,28,18
420,15,25
421,1,22
422,-3,11
423,10,2
424,35,6
425,54,20
426,57,37
427,40,43
428,17,36
429,8,23
430,24,18
431,57,31
432,84,54
433,78,72
434,29,70
435,-46,42
436,-110,-2
437,-128,-44
438,-91,-68
439,-22,-66
440,41,-42
441,70,-8
442,64,22
443,49,42
444,54,54
445,88,68
446,127,88
447,140,107
448,109,109
449,48,85
450,-10,41
451,-35,-3
452,-26,-27
453,-6,-25
454,1,-10
455,-8,2
456,-10,8
457,18,14
458,76,30
459,136,54
460,163,75
461,153,84
462,130,87
463,130,101
464,165,131
465,205,167
466,206,184
467,148,163
468,55,110
469,-20,48
470,-33,8
471,21,3
472,103,28
473,164,65
474,171,95
475,126,107
476,54,96
477,-12,66
478,-50,28
479,-56,-3
480,-40,-18
481,-23,-14
482,-23,0
483,-45,9
484,-79,5
485,-104,-12
486,-104,-34
487,-79,-49
488,-41,-50
489,-9,-37
490,3,-19
491,-8,-10
492,-37,-19
493,-68,-46
494,-87,-78
495,-82,-94
