,R,L
0,0,0
1,-2,-1
2,-4,1
3,1,3
4,1,7
5,6,7
6,7,6
7,2,2
8,0,0
9,3,-4
10,-2,-5
11,-1,-2
12,-1,0
13,-2,0
14,1,-3
15,3,0
16,1,2
17,2,4
18,1,5
19,0,1
20,2,2
21,-2,-5
22,-4,-7
23,-5,-4
24,-5,-3
25,-3,-4
26,-5,-6
27,-7,-6
28,-4,-5
29,-4,-1
30,-2,1
31,-2,-1
32,-4,-2
33,-5,-4
34,-4,-2
35,-5,-4
36,0,-1
37,0,-2
38,4,5
39,7,7
40,3,6
41,5,6
42,3,4
43,2,5
44,2,4
45,0,6
46,0,3
47,-1,3
48,3,0
49,0,0
50,-3,0
51,-8,-2
52,-7,-3
53,-3,-3
54,-2,1
55,-4,6
56,0,3
57,-1,3
58,0,1
59,-1,2
60,-3,5
61,4,8
62,6,9
63,5,7
64,3,5
65,0,6
66,1,4
67,1,6
68,6,1
69,2,0
70,0,0
71,-1,0
72,0,1
73,2,-1
74,2,-2
75,-1,-4
76,-4,0
77,1,-1
78,2,-1
79,0,-3
80,-1,0
81,-1,0
82,-2,0
83,0,0
84,4,-2
85,-1,-4
86,0,-6
87,-1,-8
88,-3,-9
89,-6,-11
90,-5,-10
91,-5,-12
92,-6,-7
93,-1,-7
94,-2,-6
95,-5,-5
96,-3,-2
97,1,0
98,2,2
99,6,5
100,7,5
101,9,8
102,8,6
103,6,6
104,4,9
105,6,3
106,5,4
107,6,1
108,2,-5
109,-3,-5
110,-5,-8
111,-8,-10
112,-9,-9
113,-12,-16
114,-13,-15
115,-16,-9
116,-14,-10
117,-11,-10
118,-8,-7
119,-4,-7
120,-4,-7
121,-1,-1
122,1,2
123,3,8
124,5,14
125,13,17
126,13,14
127,14,13
128,11,6
129,7,5
130,5,2
131,0,-1
132,-1,-1
133,1,-1
134,0,-3
135,0,-5
136,-5,-9
137,-5,-6
138,-3,-6
139,-3,-4
140,0,2
141,3,3
142,2,6
143,2,5
144,5,7
145,4,7
146,3,10
147,5,11
148,5,6
149,4,4
150,6,4
151,4,4
152,4,1
153,-1,-1
154,-4,-5
155,-6,-4
156,-6,-4
157,-2,-3
158,-2,-5
159,0,-3
160,-2,-4
161,-3,-4
162,-6,-4
163,-5,-6
164,-6,-6
165,-5,-5
166,-6,-5
167,-6,-5
168,-2,-5
169,-3,-7
170,-7,-8
171,-7,-7
172,-3,-5
173,-3,-3
174,0,-2
175,4,2
176,6,7
177,8,4
178,3,4
179,-4,5
180,0,8
181,4,8
182,2,9
183,7,7
184,6,8
185,3,2
186,2,1
187,1,-3
188,-3,-5
189,-7,-8
190,-9,-11
191,-11,-13
192,-11,-15
193,-12,-14
194,-10,-14
195,-12,-9
196,-7,-4
197,-6,-3
198,-1,0
199,1,4
200,4,6
201,3,7
202,7,7
203,6,8
204,5,3
205,1,3
206,-1,3
207,1,4
208,1,4
209,5,3
210,4,0
211,1,-2
212,-1,-7
213,-5,-10
214,-8,-8
215,-6,-5
216,0,-5
217,-3,-3
218,-3,-4
219,-5,-4
220,-4,-3
221,-2,-4
222,2,2
223,4,5
224,7,5
225,6,4
226,7,7
227,8,7
228,6,4
229,4,2
230,2,-4
231,0,-2
232,2,-1
233,3,-2
234,-2,-5
235,-5,-9
236,-8,-12
237,-9,-14
238,-9,-12
239,-12,-13
240,-11,-11
241,-11,-9
242,-5,-5
243,-2,-2
244,-1,0
245,1,2
246,4,3
247,2,5
248,4,6
249,5,7
250,3,4
251,3,5
252,3,1
253,3,1
254,5,2
255,4,1
256,5,4
257,6,4
258,0,5
259,-1,7
260,1,7
261,1,3
262,3,5
263,0,6
264,6,3
265,0,1
266,-2,-2
267,-4,-4
268,-4,1
269,-3,-2
270,0,0
271,0,1
272,-3,-4
273,-5,-7
274,-10,-10
275,-10,-11
276,-6,-5
277,-6,-2
278,-1,1
279,3,4
280,2,5
281,3,0
282,2,-4
283,-3,-5
284,-3,-2
285,-3,-3
286,-5,-7
287,-3,0
288,0,3
289,5,6
290,8,6
291,9,5
292,4,3
293,5,2
294,5,8
295,6,7
296,10,8
297,7,5
298,6,-1
299,-2,-5
300,-7,-3
301,-8,-4
302,-6,-2
303,-4,-4
304,-3,-1
305,-5,-3
306,-2,-4
307,-3,-1
308,1,1
309,4,3
310,4,6
311,9,8
312,8,10
313,11,9
314,3,4
315,4,3
316,-1,4
317,-1,3
318,1,-4
319,0,-2
320,1,-1
321,1,0
322,1,1
323,0,3
324,3,3
325,0,-1
326,0,1
327,-1,1
328,-3,-3
329,-4,-5
330,-9,-7
331,-7,-8
332,-6,-7
333,-5,-10
334,-8,-10
335,-7,-7
336,-8,-6
337,-5,-5
338,-6,-4
